,AIRCRAFT,Turbulence_Category
3781,TA12,U
3782,BE36 C337,U
3783,B20T,U
3784,MLTI,U
3785,HMD11,U
3786,B30,U
3787,F2H,U
3788,CL2,U
3789,XL2,U
3790,C42,U
3791,E54X,U
3792,MU4,U
3793,AF50,U
3794,BE7L,U
3795,AA55,U
3796,HR0C,U
3797,GLS3,U
3798,B737GSB,U
3799,B737TTN,U
3800,B737ATL,U
3801,B733GTR,U
3802,B737WAL,U
3803,E30,U
3804,BE9B,U
3805,B737RWI,U
3806,32R,U
3807,L25,U
3808,060,U
3809,R28R,U
3810,SHRT,U
3811,B737PIA,U
3812,VECT,U
3813,PC20,U
3814,D8A,U
3815,CRJ22,U
3816,B737MGE,U
3817,B733ATL,U
3818,B733CSV,U
3819,CRJ G4,U
3820,1825,U
3821,A700,U
3822,B008,U
3823,C172 C182,U
3824,FA2T,U
3825,BR90,U
3826,14,U
3827,DHC8A,U
3828,CC31,U
3829,GLAS3,U
3830,COLR,U
3831,PA341A,U
3832,PT26,U
3833,CRJZ,U
3834,SF42,U
3835,C258,U
3836,JST,U
3837,C442,U
3838,HZB,U
3839,JS28,U
3840,VIS,U
3841,CTBA,U
3842,E135 CRJ9,U
3843,CE33,U
3844,SR24,U
3845,717,U
3846,DV2O,U
3847,B737MYL,U
3848,NMRS AFCT,U
3849,A321 B737,U
3850,BL7T,U
3851,FA56,U
3852,HS36,U
3853,LJ351Q,U
3854,DS40,U
3855,TEX6,U
3856,EMB12,U
3857,AT60,U
3858,P2V7,U
3859,CL4,U
3860,PAT2,U
3861,CA8,U
3862,SPI,U
3863,S2TH,U
3864,C525Q,U
3865,UNIN,U
3866,GUL5,U
3867,HB762,U
3868,RU2,U
3869,C204,U
3870,BMD83,U
3871,LJ48,U
3872,A3219,U
3873,V414,U
3874,6LEX,U
3875,B733DRA,U
3876,SEV,U
3877,PL60,U
3878,GLA6,U
3879,B210,U
3880,B7373,U
3881,E900,U
3882,B733EKO,U
3883,SD22,U
3884,XRJ7,U
3885,GLE4,U
3886,EMB145,U
3887,B225,U
3888,Y11,U
3889,CA2T,U
3890,E15,U
3891,BE90L,U
3892,MR,U
3893,40,U
3894,MOR8,U
3895,C209,U
3896,E55E5590,U
3897,B237,U
3898,H748,U
3899,HMBLT,U
3900,GLA4,U
3901,B757 A315,U
3902,R1N17265,U
3903,B738 A319,U
3904,TOP,U
3905,APCH,U
3906,P324,U
3907,BB06,U
3908,E99,U
3909,E145 CL60,U
3910,LR50,U
3911,20,U
3912,AR72,U
3913,CJ5,U
3914,CRJ-700,U
3915,V441,U
3916,CL41,U
3917,HB777,U
3918,SWFT,U
3919,MOR2,U
3920,LL32,U
3921,GCI,U
3922,C426,U
3923,B626,U
3924,BE325,U
3925,J541,U
3926,R585,U
3927,DHC27,U
3928,RAVN,U
3929,B733 DC95,U
3930,CRJ2 MD88,U
3931,C178,U
3932,RAMS,U
3933,DC34,U
3934,H46,U
3935,BZ35,U
3936,WHIL,U
3937,XHB,U
3938,C2110,U
3939,DIAJ,U
3940,PA2B,U
3941,737 C560,U
3942,P31A,U
3943,C35R,U
3944,C659,U
3945,LF,U
3946,V733,U
3947,FK70,U
3948,140,U
3949,MDE80,U
3950,VV06,U
3951,C252,U
3952,CO60,U
3953,GLF6,U
3954,BA22,U
3955,750,U
3956,A3A,U
3957,CZY,U
3958,SW3B,U
3959,O20,U
3960,PR28,U
3961,ML20,U
3962,DC2,U
3963,PB9,U
3964,FURY,U
3965,E1145,U
3966,B7474,U
3967,AG5,U
3968,PC75,U
3969,SJ30,U
3970,W201,U
3971,DH5,U
3972,PRMA,U
3973,CTJ1,U
3974,B733NLC,U
3975,B754,U
3976,C75V,U
3977,T660,U
3978,O28A,U
3979,SPA2,U
3980,PA32},U
3981,JAP4,U
3982,LH35,U
3983,DS28,U
3984,C540,U
3985,RJ5,U
3986,B16,U
3987,BL20,U
3988,C35,U
3989,CSN,U
3990,VVE6,U
3991,ME60,U
3992,HEL0,U
3993,B733ELY,U
3994,MULTIPLE AC,U
3995,BKN-,U
3996,CRL7,U
3997,11AC,U
3998,A36T,U
3999,L535,U
4000,M30P,U
4001,AMX,U
4002,C403,U
4003,C15-,U
4004,PA31 P32R,U
4005,S55,U
4006,MAF,U
4007,JNU,U
4008,C1723,U
4009,A29,U
4010,MB752,U
4011,A65,U
4012,AS60,U
4013,BE3E,U
4014,PA3S,U
4015,MD52,U
4016,CARJ2,U
4017,W60,U
4018,AVI,U
4019,HSB,U
4020,P281,U
4021,PAROQ,U
4022,A323,U
4023,C774,U
4024,MAL,U
4025,M518,U
4026,FALCAN,U
4027,KING,U
4028,C360,U
4029,B738ATL,U
4030,E10,U
4031,BRJ2,U
4032,B7B7,U
4033,H725,U
4034,28R,U
4035,B7772,U
4036,CO22,U
4037,BK57,U
4038,H300,U
4039,EM40,U
4040,M737,U
4041,C177R,U
4042,TA40,U
4043,CRJ0,U
4044,DGC6,U
4045,AS56,U
4046,CD17,U
4047,WWJ,U
4048,NMRS JET AC,U
4049,P28ARIC,U
4050,SJ1,U
4051,PA90,U
4052,V727,U
4053,HD89,U
4054,F160,U
4055,EA30,U
4056,A319J,U
4057,B355,U
4058,D028,U
4059,AJ85,U
4060,R20,U
4061,H80A,U
4062,BE 20,U
4063,PITTS,U
4064,S2C,U
4065,B427,U
4066,NUME,U
4067,S2A,U
4068,E135 A320,U
4069,MO90,U
4070,SYMF,U
4071,LNGZ,U
4072,C17C,U
4073,TURBO,U
4074,CRJJ,U
4075,B330,U
4076,C215,U
4077,MTGR,U
4078,DCD,U
4079,C153,U
4080,C17J,U
4081,P228,U
4082,COLE,U
4083,DA42,U
4084,M02C,U
4085,PL38,U
4086,MB90,U
4087,AA2,U
4088,X2,U
4089,LJS4,U
4090,TPA3,U
4091,-M-,U
4092,B733J,U
4093,MA6,U
4094,TA320,U
4095,CR74,U
4096,XHA,U
4097,PA8B,U
4098,B733GPT,U
4099,MD17,U
4100,C208 PA32,U
4101,G145,U
4102,HKCAB,U
4103,U120,U
4104,N739,U
4105,B737HSI,U
4106,DFLY,U
4107,B737DDC,U
4108,CRJ2 A320,U
4109,B752J,U
4110,TBMT,U
4111,PA2A,U
4112,B733RTN,U
4113,C-5,U
4114,TR100,U
4115,R700,U
4116,A415,U
4117,LAK,U
4118,MY,U
4119,B737MLC,U
4120,B737COU,U
4121,B737 LJ35,U
4122,FL360,U
4123,B737SWO,U
4124,AYMP,U
4125,GRJ2,U
4126,B733LAA,U
4127,C28C,U
4128,T46,U
4129,CS7,U
4130,ATRE,U
4131,LR20,U
4132,B737CAO,U
4133,BD58,U
4134,LZEE,U
4135,E1454,U
4136,DA01,U
4137,EA320,U
4138,A100,U
4139,SRT22,U
4140,SX3,U
4141,C333,U
4142,H801,U
4143,PA23OVC PA23,U
4144,A2320,U
4145,HA332,U
4146,DV12,U
4147,PO44,U
4148,SAIL,U
4149,C148,U
4150,H2513,U
4151,B733WAL,U
4152,BE36T,U
4153,B733GSO,U
4154,CL60V,U
4155,SEL,U
4156,C35A,U
4157,E170 E145,U
4158,F500,U
4159,C221,U
4160,E60,U
4161,ECP,U
4162,E600,U
4163,AC30,U
4164,A757,U
4165,E3CF,U
4166,A738,U
4167,RV88,U
4168,VNY,U
4169,MACFT,U
4170,JLS2,U
4171,550,U
4172,CV580,U
4173,MLU,U
4174,M19T,U
4175,UNKW,U
4176,PA8R,U
4177,ATR4,U
4178,E1135,U
4179,C47,U
4180,B737 BE40,U
4181,ATR73,U
4182,CLO4,U
4183,A660,U
4184,E17,U
4185,182C210,U
4186,C304,U
4187,SRVL,U
4188,1321,U
4189,E175,U
4190,C06T,U
4191,32,U
4192,E115,U
4193,UNKC,U
4194,VRK7,U
4195,BE72,U
4196,JT21,U
4197,CLS2,U
4198,CH 7,U
4199,CRL1,U
4200,CV7,U
4201,AIRSHIP,U
4202,DAYO,U
4203,BJI,U
4204,CL66,U
4205,RH10,U
4206,EE45,U
4207,BV58,U
4208,PS44,U
4209,BE14,U
4210,C503,U
4211,PEGZ,U
4212,B737FAT,U
4213,B737CRQ,U
4214,B737SMO,U
4215,B737SBA,U
4216,035,U
4217,AS20,U
4218,GA44,U
4219,P44,U
4220,PRF1,U
4221,NMRS JET,U
4222,AR42,U
4223,DH1,U
4224,MO2C,U
4225,SL2,U
4226,B737PAM,U
4227,B737NPA,U
4228,MU25,U
4229,EM17,U
4230,A319 B757,U
4231,HBA,U
4232,A25B,U
4233,MK20P,U
4234,UN45,U
4235,F5,U
4236,CH2A,U
4237,DV15,U
4238,D80,U
4239,E17B,U
4240,B737 DC10,U
4241,NAI1,U
4242,AIR,U
4243,UB78,U
4244,EZ2,U
4245,XBA,U
4246,CTSW,U
4247,N465,U
4248,B24,U
4249,PA354,U
4250,C40S,U
4251,TAIL,U
4252,410,U
4253,MS82,U
4254,GLA3,U
4255,R738,U
4256,AY2250,U
4257,AC85,U
4258,BH58,U
4259,CI50,U
4260,SP34,U
4261,EXPER,U
4262,MO20P,U
4263,D18S,U
4264,N319,U
4265,177,U
4266,UV18,U
4267,AC84,U
4268,FASO,U
4269,B7337,U
4270,SB2C,U
4271,P465,U
4272,PT17,U
4273,1524,U
4274,INKN,U
4275,AL39,U
4276,OTP,U
4277,C106,U
4278,RV6F,U
4279,C2120,U
4280,E190 B757,U
4281,CJ70,U
4282,CRJ900,U
4283,MULT ACRFT,U
4284,ULTG,U
4285,HXB2,U
4286,SHC6,U
4287,BEECH,U
4288,BE21,U
4289,FATH,U
4290,SV4,U
4291,TEX1,U
4292,CZQ,U
4293,H656,U
4294,M20;,U
4295,RV-9,U
4296,B7367,U
4297,AK73,U
4298,P42T,U
4299,C182 BE33,U
4300,RF5,U
4301,AT31,U
4302,BRM1,U
4303,B737ROC,U
4304,P51D,U
4305,HEC,U
4306,PAJ3,U
4307,ACR7,U
4308,B737ARB,U
4309,FAB1,U
4310,SWF,U
4311,CRER,U
4312,P190,U
4313,SF32,U
4314,F26,U
4315,Y39,U
4316,CL03,U
4317,300,U
4318,DASH8C,U
4319,X208,U
4320,PR1,U
4321,BS35,U
4322,WS24,U
4323,C21-,U
4324,C185C,U
4325,P34A,U
4326,XPML,U
4327,M25B,U
4328,COL5,U
4329,JU52,U
4330,LOEZ,U
4331,B190A,U
4332,TOPS FL380,U
4333,DV58,U
4334,C227,U
4335,TA20,U
4336,182085,U
4337,HW25,U
4338,CROB,U
4339,A320 B733,U
4340,20P,U
4341,B201,U
4342,SK22,U
4343,BE9LO,U
4344,AV10,U
4345,CJRJ,U
4346,GLX2,U
4347,LJ70,U
4348,S206,U
4349,P18A,U
4350,AT3T,U
4351,ACDC,U
4352,AP34,U
4353,HZ T,U
4354,M2J,U
4355,WW27,U
4356,DAS2,U
4357,SLST,U
4358,F18F,U
4359,AAR,U
4360,B4,U
4361,GLFR,U
4362,LJ10,U
4363,PSA32,U
4364,ML77,U
4365,MR35,U
4366,MD808,U
4367,LN4,U
4368,XL,U
4369,BV76,U
4370,PXN1,U
4371,T31,U
4372,PAA3,U
4373,M D83,U
4374,S65,U
4375,B60,U
4376,PA2S,U
4377,FS20,U
4378,G135,U
4379,CLO,U
4380,T35,U
4381,BS33,U
4382,HWD,U
4383,C72T,U
4384,C740,U
4385,B763WAL,U
4386,FA340,U
4387,T211,U
4388,SRJ1,U
4389,7EC,U
4390,ES,U
4391,HVX,U
4392,AA11,U
4393,ST108,U
4394,E36105,U
4395,T43A,U
4396,E160,U
4397,C77RG,U
4398,EB,U
4399,CT,U
4400,LYB,U
4401,A319 B737,U
4402,FOX,U
4403,KPA2,U
4404,C70,U
4405,1B737,U
4406,L110,U
4407,TRIM,U
4408,SR76,U
4409,HXBG,U
4410,E155,U
4411,X182,U
4412,PC8,U
4413,V8,U
4414,B737 FALC,U
4415,B378,U
4416,F4F3,U
4417,C164,U
4418,PA24C402,U
4419,HC5,U
4420,B33,U
4421,BEVR,U
4422,B733SLC,U
4423,CL45,U
4424,MMRS,U
4425,G328,U
4426,LD60,U
4427,A45X,U
4428,TB8,U
4429,HS12,U
4430,A5C,U
4431,HB763,U
4432,C68,U
4433,SNS,U
4434,DB20,U
4435,UH50,U
4436,DHC1,U
4437,B771,U
4438,TH54,U
4439,C810,U
4440,EJ55,U
4441,TD1,U
4442,LJ55J,U
4443,S3B,U
4444,BN21,U
4445,CXRJ2,U
4446,VR6,U
4447,COL4G,U
4448,CX10,U
4449,B76,U
4450,FBR2,U
4451,EC120,U
4452,CLF4,U
4453,D190,U
4454,UN KN,U
4455,RV7Z,U
4456,E150,U
4457,PJ45,U
4458,HXB5,U
4459,T182,U
4460,CASA212,U
4461,CT4,U
4462,LA1,U
4463,SPORT,U
4464,C3400,U
4465,737150,U
4466,CRJ200,U
4467,EE99,U
4468,C220,U
4469,B202,U
4470,EDR42,U
4471,B757 H25B,U
4472,RSS,U
4473,B006,U
4474,HXAB,U
4475,T190,U
4476,B834,U
4477,GPZ,U
4478,M20W,U
4479,C569,U
4480,C15,U
4481,SP2C,U
4482,N328,U
4483,A280,U
4484,LA7,U
4485,BL33,U
4486,F190,U
4487,SF27,U
4488,ARO,U
4489,UNKK,U
4490,HUS1,U
4491,COY2,U
4492,DPAZ,U
4493,E179,U
4494,LNC6,U
4495,TQY,U
4496,SR35,U
4497,BW20,U
4498,B739A,U
4499,XB5,U
4500,PARD,U
4501,B737BASES005,U
4502,TNAV,U
4503,SH2F,U
4504,BH757,U
4505,N6413T,U
4506,H7,U
4507,HA306,U
4508,FVKB,U
4509,PULS,U
4510,C801,U
4511,C750  G5,U
4512,AL11,U
4513,AC9L,U
4514,BA10,U
4515,CKB,U
4516,MD92,U
4517,CJ55,U
4518,B737SMX,U
4519,HB763 MD82,U
4520,Q2,U
4521,1757,U
4522,B738 B752,U
4523,TREN,U
4524,B172,U
4525,SENACA,U
4526,6010,U
4527,RJT,U
4528,DH60,U
4529,AA 5,U
4530,M208,U
4531,P28QA,U
4532,SF4,U
4533,UKNURMS,U
4534,KXB,U
4535,AR19,U
4536,GTT1,U
4537,MD80  C550,U
4538,P29A,U
4539,EMBRAER,U
4540,SF84,U
4541,IS72,U
4542,MD91,U
4543,E24,U
4544,C52,U
4545,CRUJ1,U
4546,P68T,U
4547,BW35,U
4548,DC31,U
4549,M22P,U
4550,C56L,U
4551,EA60,U
4552,LJ39,U
4553,T500,U
4554,T34A,U
4555,P298,U
4556,7KCAB,U
4557,CQ50,U
4558,MD82+,U
4559,C313,U
4560,FD50,U
4561,CESA,U
4562,25B,U
4563,STB,U
4564,065P28A,U
4565,GH2,U
4566,S58P,U
4567,B757 LJ35,U
4568,TI,U
4569,R42,U
4570,HU3,U
4571,T234,U
4572,F300,U
4573,C460,U
4574,E30LJ25,U
4575,CRJ21,U
4576,0A24,U
4577,GOLF,U
4578,BE55 BE36,U
4579,31,U
4580,YAK54,U
4581,MBH5,U
4582,AIR CARRIER,U
4583,BB36,U
4584,A319 C560,U
4585,D4SB,U
4586,SDC3,U
4587,VANS,U
4588,B406,U
4589,SRWW,U
4590,T41B,U
4591,015,U
4592,BD30,U
4593,CRJA,U
4594,FA34,U
4595,C185BE,U
4596,B737  A320,U
4597,XRJ145,U
4598,ND83,U
4599,T1A,U
4600,HS28,U
4601,A320 F900,U
4602,C380,U
4603,CRJ20,U
4604,MF82,U
4605,BE195,U
4606,DC9`,U
4607,UNKB,U
4608,JA32,U
4609,V350,U
4610,EX2,U
4611,B737SOW,U
4612,H525B,U
4613,28A8,U
4614,HMD10,U
4615,EA20,U
4616,HDC10,U
4617,LAN,U
4618,E145 E135,U
4619,B160,U
4620,PQ24,U
4621,B837,U
4622,DH6T,U
4623,OVR 360010,U
4624,OM1,U
4625,M20I,U
4626,B737BNY,U
4627,TAFN,U
4628,SEAW,U
4629,B73787Q,U
4630,CRJ2BE40,U
4631,ERJ4,U
4632,B737FLG,U
4633,P28A040,U
4634,L560,U
4635,N407,U
4636,ACFT - MANY,U
4637,N758,U
4638,ALL B757,U
4639,N707,U
4640,BE73,U
4641,HS27,U
4642,DJ8,U
4643,DF34,U
4644,OL4,U
4645,CRK7,U
4646,A310H,U
4647,MX5,U
4648,COUP,U
4649,ELC5,U
4650,BL3,U
4651,BE97,U
4652,BAC2,U
4653,AS365,U
4654,L206,U
4655,A310 B737,U
4656,T130,U
4657,VA10,U
4658,B764ITO,U
4659,C52X,U
4660,PNT,U
4661,36,U
4662,AC31,U
4663,RV,U
4664,BE20 E135,U
4665,S2B,U
4666,G8,U
4667,E3E,U
4668,CR59,U
4669,B733 LJ40,U
4670,D150,U
4671,BD17,U
4672,DASH 8,U
4673,DC9O,U
4674,FL8,U
4675,LA6,U
4676,SH60,U
4677,A325,U
4678,BE4,U
4679,MD86,U
4680,LJ31 B752,U
4681,P34T,U
4682,S58,U
4683,PT19,U
4684,B757 HA308,U
4685,BE20 HA320,U
4686,H36,U
4687,ABI,U
4688,A379,U
4689,CJ41,U
4690,M734,U
4691,AC5B,U
4692,A313,U
4693,A316,U
4694,N752,U
4695,C760,U
4696,H8,U
4697,A314,U
4698,DH8DTVL,U
4699,FL210,U
4700,SWE,U
4701,CTB,U
4702,A319  B763,U
4703,FRTH,U
4704,A139,U
4705,TABA,U
4706,ADS,U
4707,RJ900,U
4708,E145 B767,U
4709,D50,U
4710,7CA7,U
4711,C10A,U
4712,S700,U
4713,C17I,U
4714,TEX,U
4715,0298,U
4716,P29,U
4717,EC14,U
4718,CJ2A,U
4719,GLGT,U
4720,MD8,U
4721,C35E,U
4722,LG60,U
4723,F25A,U
4724,SBL4,U
4725,CK17,U
4726,BE757,U
4727,CE25,U
4728,C523,U
4729,LA20,U
4730,A320`,U
4731,A319  B773,U
4732,E10210,U
4733,BE94G,U
4734,L4P,U
4735,BEJT,U
4736,A40,U
4737,RJC2,U
4738,DHI,U
4739,S300,U
4740,B7522,U
4741,E147,U
4742,PA6T,U
4743,CTJ,U
4744,A30L,U
4745,BE 40,U
4746,B7S7,U
4747,HB,U
4748,CL9,U
4749,C345,U
4750,P35,U
4751,L8X,U
4752,B738ZBV,U
4753,B738HAT,U
4754,EVSS,U
4755,BL51,U
4756,ECB1,U
4757,120083,U
4758,D118,U
4759,SH4,U
4760,V735,U
4761,PAEW,U
4762,B673,U
4763,B370,U
4764,B654,U
4765,H25E,U
4766,EC12,U
4767,PNM1,U
4768,DBQ,U
4769,F40,U
4770,U206,U
4771,M29P,U
4772,F900  B737,U
4773,A11,U
4774,C5B,U
4775,ASTO,U
4776,HUEY,U
4777,PC93,U
4778,B757 CL60,U
4779,V742,U
4780,CLJ2,U
4781,AA14,U
4782,P206,U
4783,A304,U
4784,P2AA,U
4785,C82G,U
4786,ACJ,U
4787,COOL,U
4788,SF76,U
4789,A;;,U
4790,B74,U
4791,MH53,U
4792,MD82 A320,U
4793,AR1,U
4794,CT22,U
4795,B701,U
4796,PRS2,U
4797,MAC,U
4798,`A320,U
4799,PS2B,U
4800,D8HD,U
4801,CH8B,U
4802,SVRL SMALL,U
4803,B760,U
4804,BBE30,U
4805,C752,U
4806,A203,U
4807,HDC87,U
4808,D368,U
4809,HA310,U
4810,H310,U
4811,B733 F900,U
4812,RIM1,U
4813,MD80 B752,U
4814,PREMI,U
4815,G750,U
4816,A739,U
4817,PD12,U
4818,MD,U
4819,A321 E170,U
4820,E707,U
4821,GL70,U
4822,SH8D,U
4823,JJ45,U
4824,B747-300,U
4825,B777-200,U
4826,C165,U
4827,E9,U
4828,KPAY2,U
4829,525370,U
4830,HB763J,U
4831,FFJ5,U
4832,MO2M,U
4833,B 733,U
4834,PA31L,U
4835,B738 CRJ2 MD88 A320,U
4836,AJ5,U
4837,C181,U
4838,B707300,U
4839,COLEX,U
4840,DC9 A320,U
4841,CRJ2 E145,U
4842,FAHS25,U
4843,BE36 C310,U
4844,CL60  B757,U
4845,HB52,U
4846,SR,U
4847,HD8,U
4848,A318 B737,U
4849,B737B,U
4850,EA50,U
4851,CRJ7-B737,U
4852,757AC90-747,U
4853,737-320-757,U
4854,B735 B757,U
4855,CR70,U
4856,737-320-LJ,U
4857,P160,U
4858,2234,U
4859,E180,U
4860,BC8,U
4861,B778,U
4862,BE2,U
4863,B737  CRJ7,U
4864,B577,U
4865,STATIONAIR,U
4866,MD40,U
4867,PAYNE,U
4868,C7250,U
4869,NUMEROUS AC,U
4870,CRRJ7,U
4871,T337,U
4872,S422,U
4873,E9L,U
4874,CL60 GALX,U
4875,F3TH,U
4876,B737  B757,U
4877,B737-A320,U
4878,B238,U
4879,AC73,U
4880,BH7,U
4881,CY02,U
4882,SEVRL JETS,U
4883,AT45,U
4884,CCRJ2,U
4885,CE24,U
4886,BEQL,U
4887,B737 GALX,U
4888,B75M,U
4889,A320 B767,U
4890,EV97,U
4891,D135,U
4892,055,U
4893,0A18,U
4894,PAO,U
4895,MDS8,U
4896,COLM,U
4897,CRG9,U
4898,P84,U
4899,BE41,U
4900,B337,U
4901,AUS5,U
4902,LXJ60,U
4903,HB744,U
4904,0A44,U
4905,MD90KL,U
4906,ECHO,U
4907,PZ31,U
4908,EV95,U
4909,82R,U
4910,RV67,U
4911,BE40 B737,U
4912,CCL30,U
4913,A320 B738,U
4914,B737 CRJ7,U
4915,B767 A320,U
4916,HC6,U
4917,B738  CRJ,U
4918,SAAB34,U
4919,C506,U
4920,CRJ7 E145,U
4921,2,U
4922,J55,U
4923,BL50,U
4924,EW245,U
4925,HA340,U
4926,A430,U
4927,C RJ2,U
4928,B737  CL60,U
4929,B757-B737,U
4930,B757 CRJ7,U
4931,C20L,U
4932,LAMA,U
4933,RCC,U
4934,CE550,U
4935,MV22,U
4936,1319,U
4937,1911,U
4938,C182R,U
4939,SL25,U
4940,E100,U
4941,ATR3,U
4942,B733IA,U
4943,DA44,U
4944,B76J,U
4945,BD9,U
4946,C3,U
4947,B735 MD83,U
4948,SPRT,U
4949,E169,U
4950,B757-2,U
4951,DH9,U
4952,BBJ,U
4953,D24,U
4954,HU26,U
4955,CC21,U
4956,TRJ9,U
4957,PN8,U
4958,ED35,U
4959,C23B,U
4960,E45XL,U
4961,H306,U
4962,C370,U
4963,D3,U
4964,PA81,U
4965,RV76,U
4966,D320,U
4967,R6A,U
4968,GS55,U
4969,FDCT,U
4970,B733-B734,U
4971,P47,U
4972,B737-H319,U
4973,U16,U
4974,NUMRS JET,U
4975,BRVO,U
4976,H2,U
4977,A300-600,U
4978,ND88,U
4979,BE71,U
4980,B 747,U
4981,350,U
4982,P42,U
4983,165,U
4984,B333,U
4985,B733 CRJ2,U
4986,650,U
4987,JS51,U
4988,MDLL,U
4989,CH31,U
4990,A502,U
4991,BR99,U
4992,C72RG,U
4993,AC414,U
4994,NMRS ACFTS,U
4995,BD70,U
4996,60,U
4997,CTR2,U
4998,H370,U
4999,SWR4,U
5000,B757  MD80,U
5001,OJ2,U
5002,C559,U
5003,DN8,U
5004,RE30,U
5005,B737  H25B,U
5006,A746,U
5007,H763,U
5008,GRB,U
5009,AT3,U
5010,TRRI,U
5011,PN60,U
5012,H764,U
5013,B763AND B772,U
5014,B763 AND B772,U
5015,BHO6,U
5016,L412,U
5017,B767 MD88,U
5018,UKWN,U
5019,G150,U
5020,HKC135,U
5021,C4O2,U
5022,CC7,U
5023,JRS,U
5024,B767 DC10,U
5025,A3320,U
5026,AEST07,U
5027,C172LVS,U
5028,B269,U
5029,LS60,U
5030,AIRCOUPE,U
5031,E142,U
5032,LJ42,U
5033,MU2 ,U
5034,E350,U
5035,A310-900,U
5036,337,U
5037,AR5,U
5038,B737 & E145,U
5039,NMRS TYPS ACFT,U
5040,PI80,U
5041,B737  C56X,U
5042,BEG,U
5043,HS2,U
5044,GL8S,U
5045,BE9E,U
5046,72R,U
5047,FL10,U
5048,MD9,U
5049,R735,U
5050,CTJ7,U
5051,7HC,U
5052,B21,U
5053,CV80,U
5054,A722,U
5055,HVY JET,U
5056,MS57,U
5057,BIRD,U
5058,GLXP,U
5059,PA4,U
5060,AST09,U
5061,H69C,U
5062,DH8Q,U
5063,J60,U
5064,0560,U
5065,PA3T,U
5066,C4902,U
5067,SR223S,U
5068,PA17,U
5069,R172,U
5070,B737-300,U
5071,BE589,U
5072,SR25,U
5073,E46X,U
5074,X400,U
5075,SP26,U
5076,ST17,U
5077,RN9,U
5078,C9C,U
5079,ACS5,U
5080,ALX370,U
5081,H65C,U
5082,B3,U
5083,260,U
5084,AC96,U
5085,Z701,U
5086,BD1,U
5087,H475,U
5088,SA340,U
5089,BR55,U
5090,1902,U
5091,PH46,U
5092,BD10,U
5093,F35,U
5094,P45,U
5095,B95A,U
5096,GHLX,U
5097,C739,U
5098,A386,U
5099,ERJ170,U
5100,DV3,U
5101,M33,U
5102,C260,U
5103,BC36,U
5104,EMB 145,U
5105,FA50A,U
5106,B757-300,U
5107,FA54,U
5108,BF40,U
5109,B14B,U
5110,441,U
5111,DA09,U
5112,LR34,U
5113,GALXY,U
5114,B737 B767,U
5115,J25,U
5116,BE20F,U
5117,DC96,U
5118,PQ31,U
5119,R135,U
5120,GLD5,U
5121,CH1,U
5122,WHIS,U
5123,C767,U
5124,MO2E,U
5125,MR32,U
5126,A106,U
5127,N520,U
5128,GFL2,U
5129,N20R,U
5130,NONE,U
5131,HU29,U
5132,EC1B,U
5133,V22,U
5134,F9000,U
5135,CRJ700,U
5136,PH1,U
5137,TMB9,U
5138,AB330,U
5139,B7227,U
5140,222,U
5141,MN82,U
5142,1AR,U
5143,T411,U
5144,HE29,U
5145,B737  B767,U
5146,B737  CL30,U
5147,B332,U
5148,M10P,U
5149,F9TH,U
5150,M024,U
5151,P188,U
5152,CRJ7 MD80,U
5153,SR2O,U
5154,M023,U
5155,BH21,U
5156,B737  FA20,U
5157,CV22,U
5158,CL39,U
5159,FV7,U
5160,C2O8,U
5161,TP30,U
5162,ATR1,U
5163,NKN,U
5164,BEE58,U
5165,N1548T,U
5166,ME24,U
5167,CL400,U
5168,CL17,U
5169,PTMS,U
5170,KCAB,U
5171,JABI,U
5172,C55B,U
5173,VRJ9,U
5174,EC50,U
5175,B130,U
5176,PM1,U
5177,F16F,U
5178,S331,U
5179,DA,U
5180,CR21,U
5181,A216,U
5182,B E90,U
5183,AB19,U
5184,H25Q,U
5185,G2TA,U
5186,050,U
5187,BEGG,U
5188,CH27,U
5189,LJ60 B757,U
5190,LEG1,U
5191,B719,U
5192,A319 CRJ7,U
5193,B777-300,U
5194,PS2,U
5195,PC06,U
5196,BER1,U
5197,MT43,U
5198,HMD10J,U
5199,EN28,U
5200,C56XL,U
5201,GUL4,U
5202,HS35,U
5203,E154,U
5204,C71,U
5205,PA28B,U
5206,C765,U
5207,0757,U
5208,M02J,U
5209,C55X,U
5210,A321Q,U
5211,P466T,U
5212,MULTI A,U
5213,B757  GLF3,U
5214,B737  G3,U
5215,SEVRAL ACFT,U
5216,BLH,U
5217,Z43,U
5218,DV42,U
5219,C525A,U
5220,UKKN,U
5221,SCT,U
5222,CJ31,U
5223,WW2U,U
5224,RAYL,U
5225,RS,U
5226,C24A,U
5227,LJ2T,U
5228,ALOR,U
5229,MPL,U
5230,BE200000,U
5231,BB33,U
5232,B737 (2),U
5233,7A24,U
5234,MO2G,U
5235,EZEE,U
5236,ATRO,U
5237,E178,U
5238,C560TBC0,U
5239,OA24,U
5240,BL08,U
5241,746,U
5242,DR40,U
5243,LJ45W,U
5244,F2FH,U
5245,E 120,U
5246,H25G,U
5247,BU13,U
5248,C56A,U
5249,EXPRTL,U
5250,HIA3,U
5251,WWSR,U
5252,CO4,U
5253,RANS,U
5254,BE2C,U
5255,269A,U
5256,J135,U
5257,E1721,U
5258,CL5A,U
5259,B767  B747,U
5260,X300,U
5261,SGUP,U
5262,RJ200(CRJ2),U
5263,N700,U
5264,P2832,U
