,AIRCRAFT,Turbulence_Category
402,CH9,U
403,C195,L
404,O1,L
405,CVLT,M
406,M20K,L
407,BL60,U
408,S35,L
409,095,U
410,210,L
411,BE80,L
412,TAYB,L
413,AT43,M
414,B105,L
415,LR55,U
416,PA60,U
417,G115,L
418,M20M,L
419,BE50,L
420,R22,L
421,M10,L
422,TEX2,L
423,BE32,M
424,C175,L
425,RV6A,L
426,BE77,L
427,DO28,L
428,A306PA31,L
429,HELI,U
430,KR35,L
431,C580,U
432,BH6,U
433,A350,H
434,GALX,M
435,ML7,U
436,GLF2,M
437,LJ46,M
438,H125,L
439,BA41,U
440,K35R,H
441,AA5B,L
442,8GCB,U
443,C21,L
444,A332,H
445,DC9 B738,M
446,MD87,M
447,B720,M
448,C17S,L
449,E3TF,H
450,UNK,U
451,LR45,U
452,B99,U
453,B205,L
454,H767,U
455,LB31,U
456,PA11,L
457,C303,L
458,BE20 WV257023KT,L
459,B743,H
460,H25A,M
461,BE02,U
462,LJET,U
463,MU3,M
464,DCH8,U
465,H500,L
466,SB34,M
467,CH10,L
468,AS55,L
469,PA35,L
470,BK17,L
471,A5B,U
472,BL8,L
473,CR22,L
474,B222,L
475,HUSK,L
476,B751,M
477,LJ34,M
478,MD83,M
479,LJ40,M
480,P4GT,U
481,BN2P,L
482,E3,L
483,AA12,L
484,TRID,L
485,A300,L
486,B20,L
487,CM11,U
488,F200,M
489,M201,L
490,EC35,L
491,SK61,U
492,C212,M
493,STIN,L
494,C205,L
495,FK28,L
496,DG15,L
497,185,L
498,LC20,U
499,M20E,L
500,RJ7,M
501,DA10,U
502,CH7A,L
503,E145 B752,M
504,CA21,L
505,BL28,U
506,E6,L
507,DHC3,L
508,SH30,M
509,F28,M
510,CSNA,U
511,D288,L
512,C9A,U
513,LANC,M
514,CH47,L
515,E45X,M
516,COUR,L
517,FA90,U
518,C54,U
519,EA6B,U
520,PA31MD80,L
521,DC87,H
522,L101,H
523,T700,L
524,HB06,U
525,LC40,U
526,HS80,U
527,CJR2,U
528,UNMK,U
529,BE44,M
530,CRJ6,M
531,GLEX,M
532,B,L
533,RV8,L
534,J5,L
535,EXP,L
536,UH47,U
537,MD81,M
538,CJR,U
539,A32,L
540,C77R,L
541,UH-1,U
542,V172,U
543,TAMP,L
544,MANY,L
545,M4,L
546,AC9O,L
547,B152,L
548,320,M
549,BE25,L
550,C173,L
551,DSH8,U
552,NAVI,L
553,SR33,U
554,DC3,M
555,E110,L
556,U145,U
557,LR51,U
558,PA68,U
559,MD 80,L
560,DH7,U
561,E400,L
562,CRJI,M
563,MD80 E145,M
564,L29B,M
565,NA10,U
566,MAUL,U
567,STAR,L
568,A390,U
569,CV58,U
570,B18T,L
571,COL3,L
572,SW34,L
573,G159,M
574,DC80,H
575,B1,L
576,T6,L
577,MO,L
578,B250,M
579,RANG,L
580,B783,H
581,AC21,U
582,S360,L
583,P31,U
584,M020,U
585,RB6,U
586,DK20,U
587,B02,U
588,BL22,U
589,ND80,U
590,C1,L
591,P38A,M
592,777,U
593,JS31,M
594,LA4,L
595,RV3,L
596,HBX,U
597,P24A,L
598,CL6T,M
599,T1,L
600,AC70,L
601,PA8A,U
602,C219,L
603,P2BA,U
604,EXB,U
605,T45,M
606,ATR72,L
607,C815,U
608,F27H,M
609,F406,L
610,CH5,L
611,LR,L
612,CL55,U
613,J28,L
614,C188,L
615,BE9P,L
616,C55,L
617,CR7J,U
618,MULT,U
619,HB767,U
620,A319R,L
621,B737 B757,M
622,C28R,U
623,B1900,M
624,PAY4,L
625,T28,L
626,B52,M
627,DC9Q,M
628,C44,L
629,C297,M
630,NMRS JETS,U
631,727,U
632,SK58,U
633,SA34,L
634,0H58,U
635,H525,U
636,A370,L
637,C56,L
638,WW4A,U
639,HAWKER,M
640,F28F,M
641,NUMRS,U
642,GULF3,L
643,C600,U
644,CARJ7,L
645,VELO,L
646,CL61,M
647,C9,M
648,F90,M
649,N767,L
650,A322,L
651,HB742,U
652,757,U
653,GLF1,M
654,WW2,M
655,BE8T,L
656,LJ65,M
657,JB737,U
658,B373,M
659,CRT7,U
660,1025,U
661,LJ36,M
662,EXPL,L
663,RJ2,M
664,7AC,U
665,LJ7,M
666,DH3T,L
667,MO21,U
668,GLF,M
669,NUM,U
670,E735,M
671,7ECA,U
672,ACST,L
673,GC1,L
674,A30B,H
675,C601,U
676,AC18,L
677,AA1C,L
678,CH20,L
679,UH6,U
680,LJ71,M
681,H25D,M
682,NUMS,U
683,CJ6,L
684,AC68,L
685,LJ69,M
686,BE1900,L
687,V206,L
688,P46,L
689,PA46T,L
690,NRMS,U
691,A346,H
692,CH78,L
693,A23,L
694,LF60,M
695,AMB1,L
696,OVC-,U
697,CH8,L
698,WW23,M
699,DA28,L
700,CRG1,U
701,ALL TYPES,L
702,FA15,M
703,MD80 A319,M
704,B722 A321,M
705,P50,L
706,A342,H
707,F15,M
708,PL12,L
709,UNKNOWN,U
710,MANY JETS,L
711,EB25,L
712,CESS,U
713,SEVERAL,U
714,TC19,U
715,GL10,U
716,C551,L
717,H700,L
718,DC8H,H
719,SVRL MD88,U
720,J329,M
721,172,L
722,HELE,U
723,V560,U
724,N737,U
725,L39,L
726,B19L,M
727,DH88,L
728,B747-400,H
729,T210,L
730,PA13,L
731,B73,M
732,CH7B,L
733,ASTROJET,M
734,E140,M
735,BE70,L
736,BH22,U
737,RALL,L
738,DH20,L
739,M6,L
740,P51,L
741,M021,U
742,B747 AND B767,H
743,T46T,M
744,L382,M
745,B755,M
746,H744,U
747,LJ3,M
748,C420,L
749,SW4A,M
750,RA34,U
751,B73C,M
752,OVC,U
753,HS40,U
754,PL26,L
755,SEV ACFT,U
756,PYA3,U
757,EMB1,L
758,E125,M
759,E300,L
760,PYA2,U
761,AC80,L
762,TURBO JETS,L
763,N265,M
764,BE34,L
765,S108,L
766,C,L
767,OA28,U
768,CORP,M
769,C341,L
770,PA14,L
771,TAYA,L
772,MD80-,M
773,C34,L
774,C298,M
775,K35E,H
776,P-3,U
777,PA5,U
778,AR15,L
779,H50,L
780,CLO3,L
781,PA50,U
782,SF340,M
783,BE3B,L
784,H25L,M
785,UT66,L
786,S1B1,U
787,GL4,U
788,P737,U
789,DH3,L
790,WP3,U
791,MULTI JETS,U
792,AJ25,M
793,BE96,L
794,AST,M
795,P32A,L
796,HU60,U
797,HS70,U
798,BL5,U
799,20J,L
800,CH52,L
801,B757-200,M
802,PA33,L
803,P31T,U
804,RJ,M
805,RV5,U
806,TB14,U
807,C604,U
808,MOC0,L
809,LC30,U
810,SVL,U
811,EUPA,L
812,CRJ3,M
813,AC2T,U
814,PC6T,L
815,WW25,M
816,LJ41,M
817,A328,L
818,340,L
819,EJA292,U
820,SR12,U
821,AA7,U
822,AC6T,L
823,EALX,L
824,ERJ,U
825,B145,L
826,TB10,U
827,AC9,L
828,CHEYENNE,U
829,ATR,L
830,E320,M
831,KN-S,U
